title     appeared  type rank
Ballerina 2015 pl   222
Flow 2014 pl   223
Terra     2012 pl   224
Icon 1977 pl   225
Scilab    1990 pl   226
X10  2004 pl   227
Scikit-learn   2007 library   228
Frege     2011 pl   229
Slim 2010 template  230
Turing    1982 pl   231
PostCSS   2013 textMarkup     232
idyll     2017 pl   233
MicroPython    2014 pl   234
Reverse Polish notation  1953 notation  235
Io   2002 pl   236
QML  2009 pl   237
Mercury   1995 pl   238
RPG  1959 pl   239
xBase     1986 pl   240
JSP  1999 template  241
Opa  2011 pl   242
IDL  1977 pl   243
Hy   2013 pl   244
Boo  2003 pl   245
TensorFlow     2015 library   246
GNU Octave     1988 pl   247
Ceylon    2011 pl   248
Zephir    2013 pl   249
highlight.js   2006 library   250
Redis     2009 application    251
SPARQL    2008 queryLanguage  252
Object Pascal  1986 pl   253
LOLCODE   2007 esolang   254
SPARC     1987 isa  255
Lean 2015 pl   256
SystemVerilog  2002 pl   257
Arc  2001 pl   258
Clean     1987 pl   259
RobotFramework 2013 pl   260
SuperCollider  1996 pl   261
RFC  1969 notation  262
ALGOL 60  1960 pl   263
Pony 2012 pl   264
QBasic    1991 pl   265
Factor    2003 pl   266
Cython    2007 pl   267
Bison     1985 grammarLanguage     268
XPath     1999 queryLanguage  269
WebGL     2011 library   270
CLIPS     1985 pl   271
Inform    1993 pl   272
KiCad Legacy Layout 1992 application    273
SNOBOL    1962 pl   274
vi   1976 editor    275
reStructuredText    2002 textMarkup     276
JSON5     2012 dataNotation   277
Nextflow  2013 pl   278
PL/pgSQL  1998 pl   279
CMake     2000 application    280
Sass 2006 stylesheetLanguage  281
Stata     1985 pl   282
Sublime Text   2008 editor    283
Multi-User Forth    1995 pl   284
SI   1960 notation  285
grep 1974 pl   286
EDN  2012 dataNotation   287
API Blueprint  2013 pl   288
NetLogo   1999 pl   289
Metal     2014 library   290
Self 1987 pl   291
NumPy     1995 library   292
Pike 1994 pl   293
RAML 2013 yamlFormat     294
Gzip 1992 binaryDataFormat    295
HCL  2014 dataNotation   296
Isabelle  1986 pl   297
Magit     2013 application    298
WSDL 2000 xmlFormat 299
Deno 2018 compiler  300
Click     1999 pl   301
Extensible Linking Format     1999 binaryExecutable    302
New Technology File System    1993 filesystem     303
MiniD     2006 pl   304
Ace Editor     2010 editor    305
D3.js     2011 library   306
PL/I 1964 pl   307
ClojureScript  2011 pl   308
S-algol   1979 pl   309
OpenRC runscript    2007 application    310
ATS  2013 pl   311
IA-32     1985 isa  312
F*   2014 pl   313
AutoLISP  1986 pl   314
YANG 2014 application    315
Perl 6    2015 pl   316
Turtle    2011 dataNotation   317
Subversion     2000 application    318
Csound    1985 pl   319
npm  2010 packageManager 320
Morse code     1837 notation  321
Ioke 2008 pl   322
Lex  1975 grammarLanguage     323
odin 2016 pl   324
Wren 2013 pl   325
AGC  1966 assembly  326
YARA 2008 pl   327
FlatBuffers    2014 idl  328
Ini  1987 dataNotation   329
FoxPRO    1992 pl   330
Embedded Crystal    2016 template  331
Gnuplot   1986 pl   332
Xojo 1996 pl   333
INTERCAL  1972 esolang   334
Java Bytecode  1995 bytecode  335
CodeMirror     2007 editor    336
S-expressions  1960 dataNotation   337
Alloy     1997 pl   338
AXIOM     1992 pl   339
POV-Ray SDL    1991 pl   340
E    1997 pl   341
RDoc 2004 textMarkup     342
LiveScript     2011 pl   343
Marko     2014 textMarkup     344
Modelica  1997 pl   345
Office Open XML     2006 xmlFormat 346
Wavefront Object    1988 application    347
Microsoft BASIC     1975 pl   348
CSP  1978 pl   349
Django    2005 library   350
ERB  2004 template  351
MariaDB   2009 queryLanguage  352
Gradle    2008 application    353
Dafny     2009 pl   354
Whitespace     2003 esolang   355
GAMS 1963 pl   356
Batchfile 1985 pl   357
DNS  1985 protocol  358
SYMBOL    1971 pl   359
Clipper   1985 pl   360
BPMN 2004 visual    361
Dhall     2017 dataNotation   362
AsciiDoc  2002 textMarkup     363
JSON-LD   2010 dataValidationLanguage   364
Objective-J    2008 pl   365
Datalog   1977 pl   366
Pod  1997 textMarkup     367
C--  1997 pl   368
M4   1977 pl   369
PEG.js    2010 grammarLanguage     370
chevrotain     2015 library   371
Ninja     2012 template  372
Halide    2010 pl   373
Base64    1987 textEncodingFormat  374
B    1969 pl   375
SaltStack 2011 pl   376
Bicep     2020 jsonFormat     377
Google Cloud Platform    2011 cloud     378
Microsoft Notepad   1983 editor    379
Wolfram Language    1988 pl   380
Q    2003 pl   381
TLA  1999 pl   382
Puppet    2005 pl   383
GDB  1986 application    384
Gambas    1999 pl   385
Seed7     2005 pl   386
Speedie   2022 pl   387
Oxygene   2002 pl   388
C3   2019 pl   389
Bourne shell   1977 pl   390
Befunge   1993 esolang   391
x86-64    2000 isa  392
Coconut   2014 pl   393
Twig 2009 template  394
PowerBuilder   2010 pl   395
HyperTalk 1987 pl   396
Visual FoxPro  1995 pl   397
Less 2009 stylesheetLanguage  398
BibTeX    1985 application    399
SGML 1986 textMarkup     400
Miranda   1985 pl   401
JSON Schema    2010 dataValidationLanguage   402
eC   2004 pl   403
XS   2002 pl   404
G-code    1950 pl   405
Simulink  1984 pl   406
NATO phonetic alphabet   1956 notation  407
ECL  2000 pl   408
Oberon-2  1991 pl   409
Turbo Pascal   1983 compiler  410
AutoHotkey     2003 pl   411
Homebrew  2009 packageManager 412
Classroom Object Oriented Language 1996 pl   413
GW-BASIC  1983 pl   414
Thrift    2007 idl  415
PL/0 1976 pl   416
Genie     2008 pl   417
QuickBASIC     1985 pl   418
Scala.js  2013 pl   419
LINQ 2007 queryLanguage  420
SETL 1969 pl   421
Maxima    1982 pl   422
EJS  2010 template  423
XBase++   1997 pl   424
Cap'n Proto    2013 idl  425
v8   2008 vm   426
Netwide Assembler   1996 assembly  427
YASnippet 2008 textMarkup     428
wisp 2012 pl   429
Pandas    2008 library   430
Falcon    2003 pl   431
Transact-SQL   1984 queryLanguage  432
HHVM 2011 vm   433
Markwhen  2022 textMarkup     434
COMTRAN   1957 pl   435
PRQL 2022 queryLanguage  436
ink  2015 esolang   437
Dc   1978 pl   438
ASN.1     1984 idl  439
Z notation     1974 notation  440
Ext4 2008 filesystem     441
ALGOL 68  1968 pl   442
CLU  1975 pl   443
Mercurial 2005 application    444
DIAGRAM   1980 pl   445
LiveCode  2001 pl   446
RMarkdown 2014 textMarkup     447
Squeak    1996 pl   448
RStudio   2011 editor    449
unison    2015 pl   450
Croc 2006 pl   451
HyperCard 1987 pl   452
Natural Language Toolkit 2001 library   453
Bluespec  2000 pl   454
tornado   2009 template  455
KaTeX     2013 textMarkup     456
jq   2012 queryLanguage  457
ABC  1980 pl   458
S    1976 pl   459
DBase     1979 application    460
GAP  1986 pl   461
UrWeb     2008 pl   462
K    1993 pl   463
starlark  2018 pl   464
WxBasic   2002 pl   465
Ion  2016 idl  466
Latte     2008 template  467
Stylus    2010 stylesheetLanguage  468
MMX instruction set 1997 isa  469
Vim script     1991 pl   470
mermaid   2014 textMarkup     471
Pygments  2006 library   472
JScript   1996 pl   473
chrysaLisp     2015 pl   474
Jython    2001 pl   475
True BASIC     1983 pl   476
Wolfram Mathematica 1988 editor    477
Sather    1990 pl   478
CouchDB   2005 application    479
React Native   2015 library   480
TXL  1985 pl   481
Numba     2012 compiler  482
FASTQ     2000 textDataFormat 483
EML  1974 textDataFormat 484
Pig Latin 2008 queryLanguage  485
Smarty    2006 template  486
Graph Modeling Language  1997 application    487
Punched tape   1943 notation  488
Parrot    2002 vm   489
mlir 2019 ir   490
Malbolge  1998 esolang   491
FreeBASIC 2004 pl   492
DTD  1996 grammarLanguage     493
Multics   1967 pl   494
Ragel     2007 pl   495
JFlex     2003 grammarLanguage     496
Eve  2016 pl   497
CIL  1994 pl   498
Xtend     2011 pl   499
IBM System z   2000 computingMachine    500
Cue  2018 dataNotation   501
Nu   2007 pl   502
DTrace    2005 pl   503
Tiny BASIC     1975 pl   504
AspectJ   2001 pl   505
TRS-80 Color Computer    1980 computingMachine    506
Max  1990 jsonFormat     507
Fennel    2016 pl   508
ALGOL W   1966 pl   509
RDFa 2004 xmlFormat 510
HLSL 2002 pl   511
janet     2018 pl   512
Ring 2016 pl   513
PARI/GP   1985 pl   514
Pure Data 1996 pl   515
Golo 2012 pl   516
Free Pascal    1997 pl   517
XSLT 1998 xmlFormat 518
NL   1993 application    519
Unicon    2008 pl   520
Imba 2014 pl   521
Caml 1985 pl   522
Fortress  2004 pl   523
Diff 1974 unixApplication     524
beef-lang 2019 pl   525
commonmark     2014 textMarkup     526
Slash     2012 pl   527
muPad     1997 pl   528
Atmel AVR 1996 pl   529
HOPE 1978 pl   530
Enso 2015 pl   531
High Level Assembly 2011 assembly  532
Luna 2015 pl   533
Koka 2012 pl   534
Dogescript     2013 pl   535
gravity   2017 pl   536
Gosu 2002 pl   537
OpenVera  2001 pl   538
Gerber Image   1980 application    539
MusicXML  2004 pl   540
TreeSheets     2019 visual    541
Textile   2002 textMarkup     542
SIL  2012 ir   543
Taichi    2019 pl   544
Ladder Logic   1994 pl   545
NSIS 2001 pl   546
WDL  2012 pl   547
RPL  1984 pl   548
AutoCAD DXF    1982 application    549
MDX  2017 textMarkup     550
Closure Templates   2009 template  551
Ron  2015 dataNotation   552
Hierarchical Data Format 1992 binaryDataFormat    553
MPS  2010 grammarLanguage     554
AssemblyScript 2017 pl   555
FASTA     2004 textDataFormat 556
datascript     2014 queryLanguage  557
Inno Setup     1997 pl   558
Objective C++  1993 pl   559
GLSL 1992 pl   560
Curry     1990 pl   561
Expect    1990 pl   562
BETA 1983 pl   563
Action!   1983 pl   564
PEG  2002 grammarLanguage     565
carp 2016 pl   566
Korn shell     1983 pl   567
CWL  2014 pl   568
SWI Prolog     1987 pl   569
JCL  1964 pl   570
RATFOR    1976 pl   571
Altair BASIC   1975 pl   572
RISC-V    2010 isa  573
Hjson     2014 dataNotation   574
PL/M 1973 pl   575
Cg   2003 pl   576
LilyPond  1996 pl   577
Xtext     2006 grammarLanguage     578
SourcePawn     2014 pl   579
Augmented Backus-Naur Form    2008 grammarLanguage     580
Eagle     1988 application    581
PhyloXML  2009 xmlFormat 582
Reia 2008 pl   583
Zip file format     1989 binaryDataFormat    584
UNLAMBDA  1999 esolang   585
Emojicode 2016 pl   586
IGOR Pro  1993 pl   587
Java EE version history  1998 pl   588
QB64 2007 pl   589
Commodore BASIC     1977 pl   590
Euphoria  1993 pl   591
Blitz3D   2001 pl   592
.dwg 1982 binaryDataFormat    593
Java Properties     1995 dataNotation   594
Ren'Py    2004 pl   595
Dynamo    2011 visual    596
CodeQL    2018 queryLanguage  597
BBCode    1998 textMarkup     598
ExFAT     2006 filesystem     599
CWEB 1987 textMarkup     600
GAMS 1988 pl   601
EBNF 1977 grammarLanguage     602
Argdown   2014 textMarkup     603
Apache Spark   2012 application    604
PIR  2006 pl   605
GeoJSON   2008 jsonFormat     606
Qualcomm Hexagon    2006 assembly  607
IMAP 1986 protocol  608
CSON 2011 dataNotation   609
kaitai    2016 idl  610
mustache  2009 template  611
Djot 2022 textMarkup     612
OpenLisp  1988 pl   613
LPC  1995 pl   614
Jule 2021 pl   615
Mirah     2009 pl   616
Aith 2020 pl   617
RUNOFF    1965 textMarkup     618
mgmt 2015 pl   619
DDML 1999 xmlFormat 620
Dockerfile     2013 pl   621
Rust MIR  2016 ir   622
Velato    2009 esolang   623
Microsoft Small Basic    2008 pl   624
Kubernetes     2014 application    625
RoboMind  2005 pl   626
Information Presentation Facility  1997 pl   627
Velocity  2003 template  628
mavo 2015 template  629
Futhark   2013 pl   630
Plain English  2018 pl   631
PIC microcontroller 1975 pl   632
DRAKON    1996 pl   633
Microsoft Macro Assembler     1981 assembly  634
flowchart.fun  2021 textMarkup     635
Manim     2015 framework 636
SubRip Text    2005 application    637
Keras     2015 library   638
LyX  1995 editor    639
PyTorch   2016 library   640
Ghostscript    1988 pl   641
beads-lang     2016 pl   642
Asm.js    2013 ir   643
Jekyll    2008 application    644
SQLPL     2009 pl   645
Pizza     2001 pl   646
NewtonScript   1993 pl   647
Svelte    2019 pl   648
Glyph Bitmap Distribution Format   1988 application    649
BlitzPlus 2003 pl   650
PROMETHEUS     2012 pl   651
CFML 1995 pl   652
KiXtart   1991 pl   653
Triton    2021 pl   654
Bel  2019 pl   655
Sqlalchemy     2006 queryLanguage  656
Microdata HTML 2013 schema    657
FFmpeg    2000 application    658
Jakt 2022 pl   659
Clarion   1986 pl   660
VRML 1994 pl   661
PAWN 2006 pl   662
gogs-editor    2014 editor    663
KML  2007 xmlFormat 664
Readable  2018 textMarkup     665
JADE 1996 pl   666
Pharo     2008 pl   667
X PixMap  1989 application    668
tldr 2013 application    669
Spin 2006 pl   670
ACT-III   1956 pl   671
LotusScript    1996 pl   672
Felix     2001 pl   673
ALGOL 58  1958 pl   674
X BitMap  1989 application    675
Yes It Is 2006 framework 676
CSS Doodle     2017 pl   677
Uno  2002 pl   678
Godot     2014 library   679
emberjs-framework   2011 framework 680
progsbase 2018 pl   681
JSON-stat 2011 jsonFormat     682
QR code   1994 barCodeFormat  683
XeTeX     2004 textMarkup     684
mochajs   2011 library   685
Vcpkg     2016 packageManager 686
Concise Encoding    2018 dataNotation   687
blockml   2014 textMarkup     688
Bazel     2015 application    689
JavaCC    1996 grammarLanguage     690
Ext3 2001 filesystem     691
BNF  1956 grammarLanguage     692
S3   1986 pl   693
Yoix 2000 pl   694
MBASIC    1983 pl   695
Troff     1973 textMarkup     696
chaiscript     2009 pl   697
Guile     1993 pl   698
Shapefile 1995 binaryDataFormat    699
Simple Binary Encoding   2013 pl   700
Slope     2021 pl   701
Papyrus   2015 pl   702
Varnish Configuration Language     2006 application    703
Rockstar  2018 esolang   704
Project Jupyter     2014 editor    705
ThinBasic 2004 pl   706
Roslyn compiler     2009 compiler  707
NetLinx   2007 pl   708
chatterbot     2014 library   709
JAI  2014 pl   710
Fuzzy Markup Language    2004 xmlFormat 711
USB  1996 standard  712
Nushell   2019 pl   713
fay  2012 pl   714
FIGlet Font    1991 application    715
Mathcad   1986 pl   716
P4   2014 pl   717
Nial 1981 pl   718
Tiny C Compiler     2001 compiler  719
FLOW-MATIC     1955 pl   720
Grammar   2017 grammarLanguage     721
micro-editor   2016 editor    722
CSV  1972 dataNotation   723
Advanced Message Queuing Protocol  2003 protocol  724
dgraph    2015 application    725
Secure Scuttlebutt  2014 protocol  726
XProc     1990 pl   727
Aldor     1990 pl   728
jasmine   2008 library   729
onnx 2017 binaryDataFormat    730
HDMI 2002 standard  731
TI MSP430 2009 isa  732
Apache Hbase   2008 application    733
Pick operating system    1970 os   734
SymPy     2007 library   735
QMake     2002 pl   736
UTC  1960 timeFormat     737
Rholang   2016 contractLanguage    738
JSFuck    2012 esolang   739
Scoop     2013 packageManager 740
PgBouncer 2007 application    741
LookML    2012 pl   742
CPL  1963 pl   743
Alice     2000 pl   744
Modula    1975 pl   745
ProvideX  1992 pl   746
Mindsdb   2018 application    747
Cobra     2006 pl   748
cloc 2006 application    749
Volt 2011 pl   750
JMP  1989 application    751
Angelscript    2003 pl   752
Dojo 2005 pl   753
Iterm2    1996 application    754
Apex 2007 pl   755
ARexx     1987 pl   756
CLOS 1988 pl   757
Visual Prolog  1996 pl   758
Asymptote 2004 application    759
NCAR Command Language    1994 pl   760
GIF  1987 binaryDataFormat    761
MQL5 2005 pl   762
mal  2014 interpreter    763
CoNLL-U   2014 application    764
DisplayPort    2006 standard  765
wasmer    2018 vm   766
DM   1994 pl   767
Prism     2012 library   768
capybara  2009 library   769
Semantic Versioning 2011 schema    770
Ant Build System    2000 application    771
Linden Scripting Language     2003 pl   772
J#   2002 pl   773
Cyclone   2001 pl   774
Lisaac    2003 pl   775
Karel     1981 pl   776
JSONiq    2011 queryLanguage  777
gridstudio-editor   2018 editor    778
DIGITAL Command Language 1997 pl   779
Z shell   1990 pl   780
F Prime   2017 library   781
Tea  1997 pl   782
Filebench WML  2011 pl   783
GDScript  2008 pl   784
Roc  2020 pl   785
Cryptol   2014 pl   786
pyret     2011 pl   787
Curl 1998 pl   788
Tree Notation  2017 dataNotation   789
GML  1969 xmlFormat 790
Eclipse Command Language 2008 pl   791
Logica    2020 queryLanguage  792
Kakoune   2011 editor    793
XL   2000 pl   794
GOLD 2012 grammarLanguage     795
Up-arrow notation   1976 notation  796
BPEL 2001 xmlFormat 797
GNU Assembler  1986 compiler  798
ShaderLab 2000 pl   799
dat-protocol   2013 protocol  800
Carbon    2020 pl   801
TSV  1993 dataNotation   802
PIC  1988 textMarkup     803
docopt    2012 pl   804
Mu   2014 pl   805
xsv-app   2014 application    806
Vimwiki   2008 wikiMarkup     807
Cloud Firestore Security Rules     2017 application    808
sizzle    2008 queryLanguage  809
RetDec    2017 decompiler     810
Desmos    2011 pl   811
Nix  2003 packageManager 812
PCRE 1997 queryLanguage  813
MD5  1991 hashFunction   814
Ext2 1993 filesystem     815
Not Quite C    2017 pl   816
BeanShell 1999 pl   817
FutureBASIC    1992 pl   818
StarOffice Basic    2000 pl   819
4G   2013 standard  820
Joy  2001 pl   821
edgedb    2017 database  822
COLLADA   2004 application    823
bosque    2019 pl   824
Creole    2007 textMarkup     825
noms-db   2015 database  826
SHA-2     2001 hashFunction   827
gleam     2016 pl   828
Conan     2015 packageManager 829
DNS Zone  2001 application    830
htmx 2020 template  831
Meson     2013 pl   832
binaryen  2015 compiler  833
Omgrofl   2006 esolang   834
SHA-1     1993 hashFunction   835
Pop-11    1999 pl   836
Automatically Programmed Tool 1956 pl   837
Mask 2012 template  838
Harbour   1999 pl   839
carth     2018 pl   840
Digital Visual Interface 1999 standard  841
BBC BASIC 1981 pl   842
SQL-92    1992 pl   843
Network Time Protocol    1981 protocol  844
TextMate  2004 editor    845
Lightweight Directory Access Protocol   1997 protocol  846
COMPONENT PASCAL    1997 pl   847
zephyr-asdl    1997 grammarLanguage     848
Gettext Catalog     1990 textMarkup     849
METAFONT  1977 application    850
Bucklescript   2010 pl   851
Telnet    1969 protocol  852
chibicc   2019 compiler  853
YoptaScript    2016 pl   854
mckeeman-form  2020 grammarLanguage     855
Neko 2005 pl   856
IcedCoffeeScript    2009 pl   857
Elvish    2013 pl   858
BMP file format     2000 binaryDataFormat    859
Easybuild 2014 application    860
CartoCSS  2010 pl   861
JOVIAL    1960 pl   862
SysML     2000 pl   863
ooc  2009 pl   864
Rascal    2013 grammarLanguage     865
Spyder    2009 editor    866
Thymeleaf 2011 template  867
Tagged Image File Format 1986 binaryDataFormat    868
Lily 2011 pl   869
Refal     1968 pl   870
Yorick    1996 pl   871
Zuo  2022 pl   872
UCL  2013 dataNotation   873
BlitzMax  2014 pl   874
SAM file format     2009 textDataFormat 875
SCSS 2006 stylesheetLanguage  876
contracts.coffee    2011 pl   877
ICD-10-CM diagnosis 1983 schema    878
Ante 2015 pl   879
Jasmin    1997 pl   880
RenderScript   2011 pl   881
Literate Agda  2009 pl   882
walt 2017 pl   883
Turbo Basic    1987 pl   884
penrose   2016 pl   885
OPL  1984 pl   886
Ravenscar profile   1997 pl   887
TELCOMP   1966 pl   888
Praat Script   1997 pl   889
ToffeeScript   2013 pl   890
BlackCoffee    2014 pl   891
Nit  2008 pl   892
Dartmouth BASIC     1964 pl   893
heap.coffee    2012 pl   894
MarkovJunior   2022 pl   895
EmberScript    2012 pl   896
UPC  2003 pl   897
PowerBASIC     1989 pl   898
Game Maker Language 1999 pl   899
Caffeine  2012 pl   900
tbox-lib  2010 library   901
LuaJIT    2005 compiler  902
vyper     2016 pl   903
skip 2018 pl   904
Context Diff   1981 diffFormat     905
skulpt    2009 pl   906
OpenSCAD  2010 pl   907
hasklig   2012 font 908
clay 2010 pl   909
codecept  2015 library   910
Speakeasy 2006 pl   911
WML  2006 template  912
AsciiDots 2017 esolang   913
Message Queuing Telemetry Transport     1999 protocol  914
Google File System  2003 filesystem     915
Edje Data Collection     2010 jsonFormat     916
TiddlyWiki     2004 wikiMarkup     917
Power BI  2011 application    918
Tableau Software    2003 application    919
CLIST     1990 pl   920
Euclidean geometry  -300 notation  921
UNITY     1988 pl   922
Slice     2011 pl   923
HFS Plus  1998 filesystem     924
Streem    2014 pl   925
Blender   1998 application    926
m3db 2016 database  927
Hyperscript    2012 template  928
Security Assertion Markup Language 2001 xmlFormat 929
SimCode   1997 pl   930
omega     2005 pl   931
Beatnik   2001 esolang   932
Sweet.js  2012 pl   933
Impala    2012 queryLanguage  934
HTTP/2    2015 protocol  935
ArkScript 2019 pl   936
BLISS     1969 pl   937
ROFF 1971 textMarkup     938
OX   1996 pl   939
Alpine Abuild  2006 pl   940
JRuby     2001 pl   941
Motif     1989 pl   942
SmallBASIC     2001 pl   943
ohm  2014 grammarLanguage     944
xCard     2011 xmlFormat 945
SMIL 1997 pl   946
SugarSS   2016 textMarkup     947
Binary notation     1689 notation  948
Stripe company 2011 webApi    949
TI-BASIC  1970 pl   950
ISLISP    2007 pl   951
FM broadcasting     1950 standard  952
Whiley    2009 pl   953
Atari BASIC    1983 pl   954
UCSD Pascal    1978 pl   955
Applesoft BASIC     1979 pl   956
zz   2019 pl   957
GCC Machine Description  2001 pl   958
Jupyter Notebook    2014 jsonFormat     959
ActiveVFP 2001 pl   960
ALEF 1992 pl   961
netbeans-editor     2013 editor    962
Shen 2011 pl   963
oil  2016 pl   964
Please Build   2016 pl   965
mun-lang  2019 pl   966
Melody    2022 pl   967
Mojo 2022 pl   968
chef 2002 esolang   969
GraphIt   2017 pl   970
SHA-3     2015 hashFunction   971
MATHLAB   1964 pl   972
groff     1990 textMarkup     973
ROOT 1994 library   974
Cesil     1974 pl   975
chisel    2015 hardwareDescriptionLanguage   976
Fancy     2010 pl   977
Geography Markup Language     2000 xmlFormat 978
